seed,confirmatory_model_seed,candidate,phase,budget,strict_converged,converged_fraction,n_converged_channels,n_total_channels,state_relative_error,maximum_residual,maximum_velocity_norm,median_residual,median_velocity_norm,registered_tolerance,active_channel_steps,maximum_channel_steps,median_channel_steps,wall_time_seconds,audit_indices_json
17,False,width=8|trace=5|power=1,free,10000,False,0.871875,1116,1280,5.7846665943750165e-05,0.0005401398840994423,0.00023902113278828253,4.2729427422409515e-05,6.702809403852043e-05,0.0001,8421350,10000,5875.0,9.623050700000022,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,plus,10000,False,0.784375,1004,1280,9.374030461219663e-06,0.00010722782508553509,4.18456826398385e-05,1.798096100381279e-05,6.7921584162159145e-06,2e-05,5172200,10000,1775.0,6.469510499970056,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,minus,10000,False,0.784375,1004,1280,9.677221320557962e-06,0.00010902725613538228,4.170721274260301e-05,1.8135653742838338e-05,6.846132357930238e-06,2e-05,5189450,10000,1775.0,6.273931400035508,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,free,30000,False,0.97578125,1249,1280,5.777448184665548e-05,0.00040163284140627665,0.00023564287123364194,4.51952178524483e-05,6.584852827405143e-05,0.0001,9607150,30000,5875.0,12.30082369997399,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,plus,30000,False,0.96796875,1239,1280,9.310375519989758e-06,6.320796945135859e-05,5.0163925839945e-05,1.865437826066063e-05,5.601056125614481e-06,2e-05,7325750,30000,1775.0,10.382673599990085,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,minus,30000,False,0.96796875,1239,1280,9.61545635632835e-06,6.332097512035885e-05,5.167105859612736e-05,1.8700246782924662e-05,5.605824842921938e-06,2e-05,7345725,30000,1775.0,10.485934900003485,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,free,60000,False,0.98984375,1267,1280,5.77519993049183e-05,0.0003472685615136007,0.0001342648213863911,4.5757610645483386e-05,6.526258033285611e-05,0.0001,10141775,60000,5875.0,14.959904699993785,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,plus,60000,False,0.98828125,1265,1280,9.300868128216384e-06,5.462216616018143e-05,4.198452278402577e-05,1.8659887715785258e-05,5.610863651832921e-06,2e-05,7989675,60000,1775.0,13.443918999982998,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,minus,60000,False,0.98828125,1265,1280,9.60654266359542e-06,6.414152100258787e-05,3.904842350828908e-05,1.870366340132228e-05,5.634484084680002e-06,2e-05,8012350,60000,1775.0,13.495577900030185,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,free,120000,False,0.99765625,1277,1280,5.7737453015706165e-05,0.0001426821806437713,0.00014581554689257044,4.583844296158507e-05,6.50566031666274e-05,0.0001,10593875,120000,5875.0,19.44191920000594,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
