seed,chain_size,requested_tolerance,best_beta,best_relative_gradient_error,achieved_residual_at_best
17,5,3e-05,0.01,0.0006695868983129465,1.9419126044706422e-05
17,5,0.0001,0.02,0.0010408155739191807,7.693946236850887e-05
17,5,0.0003,0.035,0.003199980146559227,0.00023902201968806525
17,5,0.001,0.05,0.005802629542659898,0.0008051003994260411
17,5,0.003,0.05,0.018072170164713734,0.0017926652260194314
17,9,3e-05,0.02,0.004355566030182682,2.418766783207253e-05
17,9,0.0001,0.02,0.011916202744351723,8.630834567519226e-05
17,9,0.0003,0.035,0.022049986463076085,0.00023572525063980275
17,9,0.001,0.05,0.044340910643383684,0.000796502369729367
17,9,0.003,0.08,0.15220717207986525,0.002395363209368431
29,5,3e-05,0.01,0.0007276226291518885,1.4027020017033463e-05
29,5,0.0001,0.02,0.0011408440143114255,9.497927066720558e-05
29,5,0.0003,0.02,0.002361161807019648,0.00014418913423870308
29,5,0.001,0.035,0.005104061841075221,0.0007161806463221365
29,5,0.003,0.08,0.02403170765441864,0.001874476975823116
29,9,3e-05,0.02,0.004731575573553377,2.9944281831193697e-05
29,9,0.0001,0.035,0.015059221718274035,9.90623958471516e-05
29,9,0.0003,0.05,0.030600716889350083,0.00029721258996414133
29,9,0.001,0.035,0.04546290966966278,0.0009366346683081573
29,9,0.003,0.05,0.1634614483274624,0.0026859418025090634
