profile,seed,chain_size,beta,requested_tolerance,plus_converged,minus_converged,both_converged,plus_steps,minus_steps,gradient_cosine,dynamic_vs_implicit_relative_error,dynamic_vs_centered_relative_error,exact_truncation_relative_error,state_error_bound_relative,residual_bound_relative,residual_relaxation_bound_relative,state_error_bound_holds,residual_bound_holds,plus_state_frobenius_error,minus_state_frobenius_error,plus_parameter_map_lipschitz,minus_parameter_map_lipschitz,plus_endpoint_curvature,minus_endpoint_curvature,minimum_endpoint_curvature,global_strong_convexity_lower_bound,floor_only_strong_convexity_margin,achieved_max_residual,achieved_max_velocity
paper,17,5,0.12,0.003,True,True,True,400,400,0.9997299976394115,0.025125648456523007,0.007834249560512305,0.028874672901216168,0.05589840078165205,0.46353597726609025,0.4346613043648741,True,True,0.006188612972297121,0.004651331798790731,0.33900108723594596,0.33884431446287366,0.26006024984229775,0.21499443891201217,0.21499443891201217,0.09291398515282806,-0.06999999999999999,0.0021773505830649125,0.0021784856224390478
paper,17,5,0.08,0.003,True,True,True,350,350,0.9997915167196995,0.024044248590598203,0.015969412525043237,0.012960947335462259,0.05887014306794439,0.473697050760437,0.46073610342497473,True,True,0.006926512027511173,0.005350460280675388,0.33897870514354167,0.33887384429662054,0.2530515906494312,0.2229233400902464,0.2229233400902464,0.13291398515282804,-0.03,0.0021685825120027436,0.0022043268079729532
paper,17,5,0.05,0.003,True,True,True,300,300,0.9999144072703716,0.018072170164713734,0.015027904376203594,0.005084665862326496,0.0663612492457619,0.5278426162525386,0.5227579503902121,True,True,0.0064923111594188355,0.0037491332434084635,0.3389608307150527,0.3388953513836966,0.2476089737096455,0.22885618912218292,0.22885618912218292,0.16291398515282807,0.0,0.0017926652260194314,0.0016229184960384253
paper,17,5,0.035,0.003,True,True,True,275,275,0.9998624914853237,0.025981520037598224,0.026702514802208522,0.002494800575434768,0.09532830694860334,0.7239268907553911,0.7214320901799564,True,True,0.006513220745808198,0.004347877232628702,0.3389515391425845,0.3389065513274458,0.24485768212557313,0.23173421083909534,0.23173421083909534,0.17791398515282805,0.015,0.0019713268701159067,0.0025802233920737844
paper,17,5,0.02,0.003,True,True,True,200,200,0.9984622971943286,0.059194472278532986,0.05931222175045938,0.0008153138410627068,0.20253500664828722,1.0481985867677504,1.0473832729266876,True,True,0.00652677129345316,0.006959285998494518,0.33894201271548197,0.3389168422728008,0.24210624721773777,0.2346449712766659,0.2346449712766659,0.19291398515282807,0.030000000000000002,0.0017118218198925307,0.001774223567897106
paper,17,5,0.01,0.003,True,True,True,175,175,0.999502128038777,0.12544558613482934,0.12534171099189156,0.00020389000182897445,0.3012408021056009,1.1497903795295443,1.1495864895277155,True,True,0.005343484146772628,0.0047194782878234665,0.33893587644157247,0.3389222730510984,0.24028105774838834,0.23657554129323619,0.23657554129323619,0.20291398515282805,0.04,0.0009869569951135469,0.0012079178606890495
paper,17,5,0.005,0.003,True,True,True,125,125,0.9955425827146356,0.11675606775741193,0.11678622185842227,5.0976331423677755e-05,0.8475914140590494,4.665428595242471,4.665377618911046,True,True,0.007047811861495967,0.007117856255024529,0.3389325768643538,0.33892562486700717,0.23937355713967318,0.23755062125472493,0.23755062125472493,0.20791398515282805,0.045000000000000005,0.002029954422105317,0.002104484095207087
paper,17,5,0.12,0.001,True,True,True,500,525,0.9997279778832365,0.027780180775913297,0.0018281216585722272,0.028874672901216168,0.03634828845834542,0.16602956904901753,0.13715489614780135,True,True,0.0017563553272061756,0.0012414943482927856,0.33900108723594596,0.3388437618938322,0.26006024984229775,0.21499443891201217,0.21499443891201217,0.09291398515282806,-0.06999999999999999,0.000663093048043637,0.0006554008346016985
paper,17,5,0.08,0.001,True,True,True,450,475,0.9999469235263775,0.012351472150751035,0.002003145760084441,0.012960947335462259,0.025070236808526138,0.15875271986687672,0.14579177253141448,True,True,0.002159877115484295,0.0010782695184085173,0.33897870514354167,0.33887367125553847,0.2530515906494312,0.2229233400902464,0.2229233400902464,0.13291398515282804,-0.03,0.0006526143597548331,0.00058229229410329
paper,17,5,0.05,0.001,True,True,True,400,425,0.9999864747542624,0.005802629542659898,0.004138320367503904,0.005084665862326496,0.021706339892777652,0.2290681480271851,0.2239834821648586,True,True,0.0017368296811140426,0.0010412337008473048,0.3389608307150527,0.338895378627652,0.2476089737096455,0.22885618912218292,0.22885618912218292,0.16291398515282807,0.0,0.0008051003994260411,0.0005959972423859859
