dataset,seed,support_width,target_relative_error,target_metric,target_reached,first_budget_steps,first_physical_time,dissipated_energy_at_first_target
moons,17,1,0.01,dynamic_vs_exact_centered_relative_error,False,,,
moons,17,1,0.003,dynamic_vs_exact_centered_relative_error,False,,,
moons,17,2,0.01,dynamic_vs_exact_centered_relative_error,False,,,
moons,17,2,0.003,dynamic_vs_exact_centered_relative_error,False,,,
moons,17,4,0.01,dynamic_vs_exact_centered_relative_error,True,80000.0,8000.0,0.0018475336415327425
moons,17,4,0.003,dynamic_vs_exact_centered_relative_error,True,160000.0,16000.0,0.0018475336446473743
moons,17,6,0.01,dynamic_vs_exact_centered_relative_error,True,40000.0,4000.0,0.001847533477791994
moons,17,6,0.003,dynamic_vs_exact_centered_relative_error,True,40000.0,4000.0,0.001847533477791994
moons,17,8,0.01,dynamic_vs_exact_centered_relative_error,True,16000.0,1600.0,0.0018475332837624352
moons,17,8,0.003,dynamic_vs_exact_centered_relative_error,True,16000.0,1600.0,0.0018475332837624352
moons,17,17,0.01,dynamic_vs_exact_centered_relative_error,True,1000.0,100.0,0.001847532485803175
moons,17,17,0.003,dynamic_vs_exact_centered_relative_error,True,1000.0,100.0,0.001847532485803175
moons,29,1,0.01,dynamic_vs_exact_centered_relative_error,False,,,
moons,29,1,0.003,dynamic_vs_exact_centered_relative_error,False,,,
moons,29,2,0.01,dynamic_vs_exact_centered_relative_error,False,,,
moons,29,2,0.003,dynamic_vs_exact_centered_relative_error,False,,,
moons,29,4,0.01,dynamic_vs_exact_centered_relative_error,True,40000.0,4000.0,0.0018073512251312422
moons,29,4,0.003,dynamic_vs_exact_centered_relative_error,True,80000.0,8000.0,0.0018073512327212871
moons,29,6,0.01,dynamic_vs_exact_centered_relative_error,True,16000.0,1600.0,0.0018073510779805027
moons,29,6,0.003,dynamic_vs_exact_centered_relative_error,True,40000.0,4000.0,0.0018073510804144624
moons,29,8,0.01,dynamic_vs_exact_centered_relative_error,True,16000.0,1600.0,0.0018073508984822115
moons,29,8,0.003,dynamic_vs_exact_centered_relative_error,True,16000.0,1600.0,0.0018073508984822115
moons,29,17,0.01,dynamic_vs_exact_centered_relative_error,True,1000.0,100.0,0.0018073501456004198
moons,29,17,0.003,dynamic_vs_exact_centered_relative_error,True,1000.0,100.0,0.0018073501456004198
moons,43,1,0.01,dynamic_vs_exact_centered_relative_error,False,,,
moons,43,1,0.003,dynamic_vs_exact_centered_relative_error,False,,,
moons,43,2,0.01,dynamic_vs_exact_centered_relative_error,True,80000.0,8000.0,0.0018921036039210063
moons,43,2,0.003,dynamic_vs_exact_centered_relative_error,True,80000.0,8000.0,0.0018921036039210063
moons,43,4,0.01,dynamic_vs_exact_centered_relative_error,True,40000.0,4000.0,0.0018921035136346721
moons,43,4,0.003,dynamic_vs_exact_centered_relative_error,True,40000.0,4000.0,0.0018921035136346721
moons,43,6,0.01,dynamic_vs_exact_centered_relative_error,True,40000.0,4000.0,0.0018921033376729387
moons,43,6,0.003,dynamic_vs_exact_centered_relative_error,True,40000.0,4000.0,0.0018921033376729387
moons,43,8,0.01,dynamic_vs_exact_centered_relative_error,True,16000.0,1600.0,0.0018921031319614852
moons,43,8,0.003,dynamic_vs_exact_centered_relative_error,True,16000.0,1600.0,0.0018921031319614852
moons,43,17,0.01,dynamic_vs_exact_centered_relative_error,True,1000.0,100.0,0.001892102279179798
moons,43,17,0.003,dynamic_vs_exact_centered_relative_error,True,1000.0,100.0,0.001892102279179798
spirals,17,1,0.01,dynamic_vs_exact_centered_relative_error,False,,,
spirals,17,1,0.003,dynamic_vs_exact_centered_relative_error,False,,,
spirals,17,2,0.01,dynamic_vs_exact_centered_relative_error,False,,,
spirals,17,2,0.003,dynamic_vs_exact_centered_relative_error,False,,,
spirals,17,4,0.01,dynamic_vs_exact_centered_relative_error,True,80000.0,8000.0,0.0018461517358938741
spirals,17,4,0.003,dynamic_vs_exact_centered_relative_error,True,160000.0,16000.0,0.0018461517379777031
spirals,17,6,0.01,dynamic_vs_exact_centered_relative_error,True,40000.0,4000.0,0.001846151571427024
spirals,17,6,0.003,dynamic_vs_exact_centered_relative_error,True,40000.0,4000.0,0.001846151571427024
spirals,17,8,0.01,dynamic_vs_exact_centered_relative_error,True,16000.0,1600.0,0.0018461513777299036
spirals,17,8,0.003,dynamic_vs_exact_centered_relative_error,True,16000.0,1600.0,0.0018461513777299036
spirals,17,17,0.01,dynamic_vs_exact_centered_relative_error,True,1000.0,100.0,0.0018461505821784764
spirals,17,17,0.003,dynamic_vs_exact_centered_relative_error,True,1000.0,100.0,0.0018461505821784764
spirals,29,1,0.01,dynamic_vs_exact_centered_relative_error,False,,,
spirals,29,1,0.003,dynamic_vs_exact_centered_relative_error,False,,,
spirals,29,2,0.01,dynamic_vs_exact_centered_relative_error,False,,,
spirals,29,2,0.003,dynamic_vs_exact_centered_relative_error,False,,,
