profile,topology,seed,strategy,n_nodes,n_input_nodes,n_readout_nodes,n_dampers,damping_trace,readout_nodes,damping_nodes,calibration_minimum_visibility,unseen_minimum_visibility,unseen_minimum_decay_rate,unseen_all_observable,plus_converged,minus_converged,minimum_phase_convergence_fraction,total_active_sample_steps,dynamic_vs_exact_centered_gradient_error,dynamic_vs_implicit_gradient_error,dynamic_vs_implicit_cosine,exact_centered_vs_implicit_error,free_exact_residual,plus_exact_residual,minus_exact_residual
paper,sparse_16,17,calibration_modal,16,4,4,4,0.1,"12,0,2,11","2,4,12,14",0.2469159972090917,0.24693325586785297,0.0007606923311879732,True,True,True,1.0,1018525,0.000413596677919167,0.0004179936923925208,0.9999999128266052,8.411116425791588e-05,2.0307544075789896e-12,2.3562604402817057e-16,1.9632335849599173e-16
paper,sparse_16,17,topology_only,16,4,4,4,0.1,"12,0,2,11","12,0,2,11",0.19024634243068958,0.18899610974250364,0.00044435727067643205,True,True,True,1.0,1214725,0.00038474525917687135,0.0003914748665797138,0.9999999234124075,8.411116425791588e-05,2.0307544075789896e-12,2.3562604402817057e-16,1.9632335849599173e-16
paper,sparse_16,17,random_0,16,4,4,4,0.1,"12,0,2,11","2,4,12,13",0.12382613810317093,0.12269928140626625,0.00018807604461798522,True,False,False,0.0,2880000,0.00033106053368770453,0.00034449503728452795,0.9999999425140281,8.411116425791588e-05,2.0307544075789896e-12,2.3562604402817057e-16,1.9632335849599173e-16
paper,sparse_16,29,calibration_modal,16,4,4,4,0.1,"9,10,14,13","2,4,9,11",0.3139372424312608,0.31389257624003886,0.001231116124742554,True,True,True,1.0,546925,0.0010296270654703047,0.0010117642428013236,0.9999998278991673,4.140664353340694e-05,3.6644925941323877e-13,1.1644957205196551e-16,2.8143658093795297e-16
paper,sparse_16,29,topology_only,16,4,4,4,0.1,"9,10,14,13","9,10,14,13",0.13330671210596348,0.13380286071185846,0.00022371710343155327,True,True,True,1.0,2346425,0.0004622610347472649,0.0004629660093461305,0.9999998928404428,4.140664353340694e-05,3.6644925941323877e-13,1.1644957205196551e-16,2.8143658093795297e-16
paper,sparse_16,29,random_0,16,4,4,4,0.1,"9,10,14,13","1,6,12,14",0.14963036567790178,0.14894722913537273,0.00027622278339090034,True,True,True,1.0,2460775,0.0005513435210058214,0.0005447873353641759,0.9999998673669486,4.140664353340694e-05,3.6644925941323877e-13,1.1644957205196551e-16,2.8143658093795297e-16
paper,sparse_16,43,calibration_modal,16,4,4,4,0.1,"13,14,15,0","3,8,11,15",0.2902679095449686,0.2899754105846173,0.0010507702171895228,True,True,True,1.0,667950,0.0003566077286108155,0.0003453527414696257,0.9999999632394432,3.651744873133524e-05,2.9899709130027505e-16,1.1598024381475322e-16,3.8767479769722047e-16
paper,sparse_16,43,topology_only,16,4,4,4,0.1,"13,14,15,0","13,14,15,0",0.1451267815177767,0.144562891392849,0.0002601811579604485,True,True,True,1.0,1642175,0.0005382513390675233,0.0005372699472766067,0.9999998568190464,3.651744873133524e-05,2.9899709130027505e-16,1.1598024381475322e-16,3.8767479769722047e-16
paper,sparse_16,43,random_0,16,4,4,4,0.1,"13,14,15,0","0,5,6,13",0.1250056018043279,0.12492114803119443,0.000195008926325263,True,True,True,1.0,2666550,0.00022552587380756094,0.0002219590405043079,0.9999999766345372,3.651744873133524e-05,2.9899709130027505e-16,1.1598024381475322e-16,3.8767479769722047e-16
paper,sparse_16,71,calibration_modal,16,4,4,4,0.1,"14,15,12,13","11,12,13,15",0.2668010574216628,0.2660861696481159,0.0008789881888010831,True,True,True,1.0,674425,0.0004892533795861189,0.0004939202141383811,0.9999998782525236,7.72265528745614e-05,2.1971964955323139e-13,1.6000781874577125e-16,1.4296479124179332e-16
