profile,topology,seed,random_index,n_nodes,n_dampers,damping_trace,calibration_minimum_visibility,unseen_minimum_visibility,unseen_minimum_decay_rate,unseen_all_observable,damping_nodes
paper,sparse_16,17,0,16,4,0.1,0.12382613810317093,0.12269928140626625,0.00018807604461798522,True,"2,4,12,13"
paper,sparse_16,17,1,16,4,0.1,0.19446932837822267,0.19459996997561868,0.00047306211570663503,True,"0,2,12,13"
paper,sparse_16,17,2,16,4,0.1,0.12134459782666901,0.12012259591285565,0.00017980000012768338,True,"4,5,7,11"
paper,sparse_16,17,3,16,4,0.1,0.16331909421923116,0.16345231018724507,0.00033351555395116916,True,"0,5,11,13"
paper,sparse_16,17,4,16,4,0.1,0.1536862828322307,0.15194736891478958,0.00028650933252477584,True,"0,2,11,14"
paper,sparse_16,17,5,16,4,0.1,0.15797045421339523,0.15864130778807717,0.00031437950687279725,True,"5,7,9,11"
paper,sparse_16,17,6,16,4,0.1,0.1129980243601734,0.1149979473916061,0.0001645947124401248,True,"0,5,9,14"
paper,sparse_16,17,7,16,4,0.1,0.16352732547991963,0.16462273608768374,0.00033868614535453867,True,"3,5,7,13"
paper,sparse_16,17,8,16,4,0.1,0.11481282960739679,0.11426794685082961,0.0001626040957452557,True,"1,2,3,14"
paper,sparse_16,17,9,16,4,0.1,0.17452811821745257,0.17346388050483708,0.0003755239358467499,True,"0,4,11,13"
paper,sparse_16,17,10,16,4,0.1,0.13735498123953996,0.13922614948291853,0.00024114980324240962,True,"2,3,5,9"
paper,sparse_16,17,11,16,4,0.1,0.1548682316751892,0.15404197462372582,0.0002965077874508282,True,"0,1,3,4"
paper,sparse_16,17,12,16,4,0.1,0.13911840819755883,0.1410747159795614,0.0002484319099452237,True,"3,7,11,13"
paper,sparse_16,17,13,16,4,0.1,0.1677469949103544,0.16848939542919827,0.0003547063226374443,True,"5,7,13,14"
paper,sparse_16,17,14,16,4,0.1,0.17861079879177458,0.1785511673688416,0.00039843028852043494,True,"4,5,11,14"
paper,sparse_16,17,15,16,4,0.1,0.17431386919850628,0.17747294903208263,0.00039035745549864664,True,"0,1,2,12"
paper,sparse_16,17,16,16,4,0.1,0.08160302826502693,0.08186580930614816,8.354957930681306e-05,True,"3,5,9,14"
paper,sparse_16,17,17,16,4,0.1,0.16660798322878426,0.16953204772483502,0.00035825699997885097,True,"0,2,9,14"
paper,sparse_16,17,18,16,4,0.1,0.21405703091560752,0.21420708599880822,0.0005728385657411961,True,"1,9,13,14"
paper,sparse_16,17,19,16,4,0.1,0.09977679925039949,0.10065695741105844,0.0001265064730042731,True,"0,1,3,5"
paper,sparse_16,17,20,16,4,0.1,0.1634128727479902,0.1638912663475036,0.00033547117290072537,True,"1,2,5,11"
paper,sparse_16,17,21,16,4,0.1,0.09947019623614466,0.10062126401260721,0.00012621056355499594,True,"0,4,11,14"
paper,sparse_16,17,22,16,4,0.1,0.2287457374255034,0.22988758897224534,0.0006597895790589892,True,"0,3,4,13"
paper,sparse_16,17,23,16,4,0.1,0.0961036584839692,0.09698351620377427,0.00011632054796480162,True,"3,5,9,12"
paper,sparse_16,17,24,16,4,0.1,0.18771616517323533,0.18771145443566434,0.00044020011567549866,True,"7,12,13,14"
paper,sparse_16,17,25,16,4,0.1,0.08373160266244295,0.08189991506960687,8.326790292723096e-05,True,"2,5,7,11"
paper,sparse_16,17,26,16,4,0.1,0.22144996402511963,0.2225302136551418,0.0006184036080122413,True,"5,7,9,12"
paper,sparse_16,17,27,16,4,0.1,0.20471611782734037,0.20471661460489915,0.0005219877631452534,True,"4,5,12,14"
paper,sparse_16,17,28,16,4,0.1,0.23848044760315756,0.23865257356505096,0.0007109802487493821,True,"1,7,9,13"
paper,sparse_16,17,29,16,4,0.1,0.19112637578834382,0.18949260994760356,0.0004338902880124951,True,"0,1,2,7"
paper,sparse_16,17,30,16,4,0.1,0.15113351154753182,0.14978999774659355,0.0002798052847594046,True,"2,7,11,13"
paper,sparse_16,17,31,16,4,0.1,0.10657602047437055,0.11336042359138919,0.00016032825995743183,True,"0,1,2,11"
paper,sparse_16,17,32,16,4,0.1,0.22156338265637956,0.22264643886636584,0.000619344216414186,True,"1,5,7,12"
paper,sparse_16,17,33,16,4,0.1,0.21888639400105933,0.21804750178283727,0.000592916496514384,True,"0,4,5,7"
paper,sparse_16,17,34,16,4,0.1,0.20751058231737005,0.2066806151346043,0.0005329292453040146,True,"0,3,12,13"
paper,sparse_16,17,35,16,4,0.1,0.1482150534847054,0.14940343286315758,0.0002785619375650361,True,"3,4,7,13"
paper,sparse_16,17,36,16,4,0.1,0.16835315400359105,0.17142218478938784,0.00035859859063644417,True,"2,5,12,14"
paper,sparse_16,17,37,16,4,0.1,0.22790063910250394,0.22824564844594913,0.0006494743131361391,True,"1,2,7,9"
paper,sparse_16,17,38,16,4,0.1,0.11807058547825253,0.11658903705780493,0.0001697328090550787,True,"2,4,11,13"
paper,sparse_16,17,39,16,4,0.1,0.191078191155323,0.19135095483702866,0.0004572318115990126,True,"0,4,9,13"
paper,sparse_16,17,40,16,4,0.1,0.12930357219465724,0.12930611427026975,0.00020863871396625822,True,"1,2,3,13"
paper,sparse_16,17,41,16,4,0.1,0.11975950548910662,0.12009766316817796,0.0001802689135793345,True,"3,7,9,14"
paper,sparse_16,17,42,16,4,0.1,0.19553561439777697,0.19453912727419462,0.0004703736826335292,True,"0,7,13,14"
paper,sparse_16,17,43,16,4,0.1,0.1911344820219358,0.19416331542560428,0.0004711331555149467,True,"3,4,11,12"
paper,sparse_16,17,44,16,4,0.1,0.15047655982865876,0.15083277470156853,0.0002843396552019012,True,"3,5,7,9"
paper,sparse_16,17,45,16,4,0.1,0.22323505738328508,0.2243532874950052,0.0006290881248595115,True,"2,7,9,11"
paper,sparse_16,17,46,16,4,0.1,0.18434446532052362,0.1838799504243761,0.00042010142937892736,True,"1,4,9,11"
paper,sparse_16,17,47,16,4,0.1,0.17773962542681854,0.17595303633665887,0.00038052295335117003,True,"1,4,5,14"
paper,sparse_16,17,48,16,4,0.1,0.18516716513833048,0.18518341009002676,0.00042821088472477786,True,"0,2,5,11"
paper,sparse_16,17,49,16,4,0.1,0.15210363183491848,0.15115660375957654,0.0002855516091136989,True,"1,2,3,4"
paper,sparse_16,17,50,16,4,0.1,0.1952513908988813,0.19439689703940327,0.00047188195979147585,True,"0,4,7,13"
paper,sparse_16,17,51,16,4,0.1,0.1331027473336575,0.13403080306043033,0.00022078127607707762,True,"0,1,7,11"
paper,sparse_16,17,52,16,4,0.1,0.12175701350635659,0.12036941220276023,0.0001809345183793054,True,"2,4,11,12"
paper,sparse_16,17,53,16,4,0.1,0.15781777858603463,0.15921298540104253,0.0003166916705107381,True,"2,4,7,14"
paper,sparse_16,17,54,16,4,0.1,0.18488255579220725,0.18557800248559428,0.00043031744627608504,True,"0,4,5,12"
paper,sparse_16,17,55,16,4,0.1,0.17511112017384137,0.1757407933583054,0.0003778712401257822,True,"3,4,5,14"
paper,sparse_16,17,56,16,4,0.1,0.19626342561904475,0.19688598766572446,0.00048366185239168136,True,"3,9,12,13"
paper,sparse_16,17,57,16,4,0.1,0.13659163729689705,0.13632353455363494,0.00023179306431109215,True,"0,7,11,14"
paper,sparse_16,17,58,16,4,0.1,0.13921766156952387,0.14171001045412202,0.0002471315706124022,True,"0,5,12,14"
paper,sparse_16,17,59,16,4,0.1,0.18853852847403327,0.18843553517631156,0.0004435987276897868,True,"4,5,7,12"
paper,sparse_16,17,60,16,4,0.1,0.18823246742100397,0.1859200616689674,0.00042201107153178215,True,"0,3,4,5"
paper,sparse_16,17,61,16,4,0.1,0.160243922807039,0.15982121982854652,0.00031806742476225836,True,"1,3,7,14"
paper,sparse_16,17,62,16,4,0.1,0.22295590840784502,0.22404012118130898,0.0006274608226513045,True,"0,5,7,9"
paper,sparse_16,17,63,16,4,0.1,0.23424005985915694,0.23426388983077845,0.0006850948475429705,True,"4,7,9,12"
paper,sparse_16,29,0,16,4,0.1,0.14963036567790178,0.14894722913537273,0.00027622278339090034,True,"1,6,12,14"
paper,sparse_16,29,1,16,4,0.1,0.1331110486038163,0.13275164304137835,0.00022016655296364096,True,"4,11,13,14"
paper,sparse_16,29,2,16,4,0.1,0.1889083897510415,0.18910079333499397,0.0004461735448702542,True,"4,6,10,13"
paper,sparse_16,29,3,16,4,0.1,0.1929575040385589,0.19301381738644924,0.0004655646990412987,True,"2,9,11,15"
paper,sparse_16,29,4,16,4,0.1,0.10337254376894495,0.10357904576591566,0.0001338249944598524,True,"8,9,12,15"
paper,sparse_16,29,5,16,4,0.1,0.21912712301715345,0.21874939930296664,0.0005970231668764592,True,"1,4,8,13"
paper,sparse_16,29,6,16,4,0.1,0.13244532352973554,0.13256544179454297,0.00021900427059423633,True,"4,8,10,13"
paper,sparse_16,29,7,16,4,0.1,0.12218208930419927,0.12076517184658725,0.00018223609612988412,True,"8,12,13,14"
paper,sparse_16,29,8,16,4,0.1,0.14578502487291128,0.1457718757445187,0.00026492885150578016,True,"8,10,12,13"
paper,sparse_16,29,9,16,4,0.1,0.1644960381653195,0.16457528692493756,0.00033836412484147815,True,"8,9,10,11"
paper,sparse_16,29,10,16,4,0.1,0.2163184970002036,0.21576225645026423,0.0005812611819140667,True,"6,9,11,14"
paper,sparse_16,29,11,16,4,0.1,0.09479087971276744,0.09155425960206147,0.00010462170286326677,True,"2,6,11,14"
paper,sparse_16,29,12,16,4,0.1,0.2723504112534811,0.2689325133009246,0.0009028021571168693,True,"1,2,8,11"
paper,sparse_16,29,13,16,4,0.1,0.1559802333431206,0.15017643482211265,0.00028098934337073,True,"2,6,14,15"
paper,sparse_16,29,14,16,4,0.1,0.08219882524514933,0.08217413050411003,8.403921363075995e-05,True,"1,9,11,14"
paper,sparse_16,29,15,16,4,0.1,0.16828263312878253,0.16723530938191816,0.00034763189664552274,True,"1,6,9,14"
paper,sparse_16,29,16,16,4,0.1,0.17375041872078187,0.17718054844503933,0.0003922577098587898,True,"10,11,12,13"
paper,sparse_16,29,17,16,4,0.1,0.19875394498038773,0.19840161753789032,0.0004917468813337433,True,"1,2,14,15"
paper,sparse_16,29,18,16,4,0.1,0.08318849669576568,0.08314992583652267,8.606267012034596e-05,True,"1,2,9,11"
paper,sparse_16,29,19,16,4,0.1,0.14645556100146948,0.14668813976832956,0.00026865298862524534,True,"2,8,9,13"
paper,sparse_16,29,20,16,4,0.1,0.24267792661448537,0.24305207167648535,0.0007378918777291021,True,"4,10,11,14"
paper,sparse_16,29,21,16,4,0.1,0.036953926905810015,0.03785112699925014,1.7900857054164998e-05,True,"6,8,11,13"
paper,sparse_16,29,22,16,4,0.1,0.22465531276207534,0.22445252888389253,0.000629496630823588,True,"4,6,8,9"
paper,sparse_16,29,23,16,4,0.1,0.13763458233738654,0.13651847661188177,0.00023283679006702585,True,"2,12,13,14"
paper,sparse_16,29,24,16,4,0.1,0.025350953898152225,0.02517761185477181,7.920189545596035e-06,True,"8,10,14,15"
paper,sparse_16,29,25,16,4,0.1,0.10848265259823014,0.10855082366705153,0.00014719718975825247,True,"2,12,13,15"
paper,sparse_16,29,26,16,4,0.1,0.20090366276356672,0.20378233373461171,0.0005184144475761099,True,"2,4,10,11"
paper,sparse_16,29,27,16,4,0.1,0.13259088520476428,0.13200939028447412,0.000217698562654578,True,"4,8,13,14"
paper,sparse_16,29,28,16,4,0.1,0.20233671616579446,0.20206154244651597,0.0005101021018982244,True,"4,8,12,15"
paper,sparse_16,29,29,16,4,0.1,0.10767497266728511,0.10857391485277774,0.00014724057186255024,True,"9,12,13,14"
paper,sparse_16,29,30,16,4,0.1,0.13330671210596348,0.13380286071185846,0.00022371710343155327,True,"9,10,13,14"
paper,sparse_16,29,31,16,4,0.1,0.15063148178665478,0.1510130648122176,0.00028342183459925674,True,"1,6,8,11"
paper,sparse_16,29,32,16,4,0.1,0.27534008612646826,0.27537618739931785,0.000947593109173972,True,"1,2,10,11"
paper,sparse_16,29,33,16,4,0.1,0.2735930492058622,0.27358619407550705,0.0009347181782869418,True,"2,4,6,9"
paper,sparse_16,29,34,16,4,0.1,0.12237705302546135,0.1223429327743581,0.00018690211481689478,True,"9,10,13,15"
paper,sparse_16,29,35,16,4,0.1,0.2205631546493371,0.22019065964632087,0.0006057889708632747,True,"1,8,10,13"
paper,sparse_16,29,36,16,4,0.1,0.12265929432938816,0.1210562581353672,0.00018309024048612788,True,"11,12,13,14"
paper,sparse_16,29,37,16,4,0.1,0.1740656401218218,0.17285236536574072,0.00037311226297731537,True,"4,11,13,15"
paper,sparse_16,29,38,16,4,0.1,0.12728888768100036,0.12716524267755044,0.00020199401218795598,True,"2,10,12,15"
paper,sparse_16,29,39,16,4,0.1,0.2400156896846756,0.2401000667321284,0.0007204385114921164,True,"2,10,11,14"
paper,sparse_16,29,40,16,4,0.1,0.256405932015815,0.25648300806903407,0.0008216494473489658,True,"1,2,8,12"
paper,sparse_16,29,41,16,4,0.1,0.23390475597225352,0.2331410143108628,0.0006792725134580277,True,"4,6,9,14"
paper,sparse_16,29,42,16,4,0.1,0.17126726098314457,0.1713278081428304,0.0003667993416791582,True,"2,6,9,14"
paper,sparse_16,29,43,16,4,0.1,0.18787742609402025,0.18745957742680502,0.0004389691866719114,True,"1,4,8,14"
paper,sparse_16,29,44,16,4,0.1,0.131612602323127,0.1275950418776675,0.00020302381013681536,True,"6,8,11,15"
paper,sparse_16,29,45,16,4,0.1,0.18234435014877276,0.1821384892530429,0.00041446903988268113,True,"1,6,11,15"
paper,sparse_16,29,46,16,4,0.1,0.193682080569155,0.19408207323863977,0.00047074339242131336,True,"1,2,13,15"
paper,sparse_16,29,47,16,4,0.1,0.33817571352819437,0.338385607323582,0.00143110788632754,True,"1,4,10,12"
paper,sparse_16,29,48,16,4,0.1,0.06305367845991054,0.06305208646825146,4.958114199565822e-05,True,"2,9,11,14"
paper,sparse_16,29,49,16,4,0.1,0.1924486361893402,0.1929396281680914,0.0004646999641041427,True,"2,4,10,13"
paper,sparse_16,29,50,16,4,0.1,0.1739595746889489,0.17432136845025728,0.00037898590409468635,True,"2,9,11,12"
paper,sparse_16,29,51,16,4,0.1,0.24942918621861737,0.24979244363079556,0.000779626366885694,True,"1,11,12,15"
paper,sparse_16,29,52,16,4,0.1,0.15890201500225293,0.15925080455399,0.0003163323372386839,True,"9,10,12,14"
paper,sparse_16,29,53,16,4,0.1,0.19724482066906607,0.19739654696974257,0.00048663821731870227,True,"1,2,4,6"
paper,sparse_16,29,54,16,4,0.1,0.14620862619381728,0.14206981910671573,0.0002517531329601086,True,"2,11,13,15"
paper,sparse_16,29,55,16,4,0.1,0.21987373741193625,0.21994728179934156,0.0006041911757073692,True,"9,12,14,15"
paper,sparse_16,29,56,16,4,0.1,0.1362286312936797,0.1361406992067132,0.00023153593540176098,True,"2,4,6,8"
paper,sparse_16,29,57,16,4,0.1,0.2881255959867956,0.28816145886864736,0.0010371675208034337,True,"1,6,10,11"
paper,sparse_16,29,58,16,4,0.1,0.1474834635342888,0.14696787261420147,0.00026989134205049337,True,"9,11,12,15"
paper,sparse_16,29,59,16,4,0.1,0.19698725659163288,0.19662141835138944,0.00048296231585026606,True,"6,8,9,13"
paper,sparse_16,29,60,16,4,0.1,0.07336748185534767,0.07354508603956417,6.752831304634999e-05,True,"2,6,8,13"
paper,sparse_16,29,61,16,4,0.1,0.20429153016230567,0.20430742854797362,0.0005216793995013735,True,"1,4,6,11"
paper,sparse_16,29,62,16,4,0.1,0.1421256656658852,0.13572234825976914,0.00022947997220536254,True,"11,13,14,15"
paper,sparse_16,29,63,16,4,0.1,0.1308364163452743,0.13070849750629493,0.00021282574544578825,True,"8,10,12,15"
paper,sparse_16,43,0,16,4,0.1,0.1250056018043279,0.12492114803119443,0.000195008926325263,True,"0,5,6,13"
paper,sparse_16,43,1,16,4,0.1,0.18191568879266248,0.18177627743679367,0.0004125479801667109,True,"3,5,8,12"
paper,sparse_16,43,2,16,4,0.1,0.2088846901561265,0.20925298584887028,0.0005466984610722203,True,"3,8,11,12"
paper,sparse_16,43,3,16,4,0.1,0.040933456349462334,0.04035784369941763,2.034540139936314e-05,True,"0,6,8,12"
paper,sparse_16,43,4,16,4,0.1,0.20588024103385721,0.20588735785667622,0.000529735476869797,True,"0,3,11,14"
