dataset,n_rbf,method,n_runs,test_accuracy_mean,test_accuracy_std,gradient_relative_error_mean,gradient_relative_error_max,gradient_cosine_min
moons,48,boundary_dynamic,5,0.98375,0.007126096406869635,0.0007928207258881801,0.0019037548248357,0.999998191355476
moons,48,standard_eqprop,5,0.98375,0.007126096406869635,0.00027432418074328,0.0024797866614792,0.999999227703453
moons,48,implicit_id,5,0.98375,0.007126096406869635,,,
circles,48,boundary_dynamic,5,0.99875,0.0027950849718747506,0.00110920732333266,0.0035619356055428,0.9999936686921052
circles,48,standard_eqprop,5,0.99875,0.0027950849718747506,0.0004829681669642,0.0032373308220086,0.9999966586940668
circles,48,implicit_id,5,0.99875,0.0027950849718747506,,,
xor,48,boundary_dynamic,5,0.96125,0.005229125165837957,0.00156586637833604,0.0047571639361602,0.9999886848069
xor,48,standard_eqprop,5,0.96125,0.005229125165837957,0.00046214095209306,0.0028415098042889,0.9999980099643142
xor,48,implicit_id,5,0.96125,0.005229125165837957,,,
spirals,48,boundary_dynamic,5,0.73875,0.0460129057982649,0.00637598840182194,0.0178593266733904,0.9998408124475862
spirals,48,standard_eqprop,5,0.73875,0.0460129057982649,0.00108364188685158,0.0035958671599927,0.9999964663042986
spirals,48,implicit_id,5,0.74,0.04605533356735134,,,
spirals,96,boundary_dynamic,5,0.8300000000000001,0.03377314021526575,0.00488415831252238,0.0154083638678006,0.9998820234117936
spirals,96,standard_eqprop,5,0.8300000000000001,0.03377314021526575,0.0008932250480754199,0.0036329805702339,0.9999958672787638
spirals,96,implicit_id,5,0.8300000000000001,0.03377314021526575,,,
