profile,seed,chain_size,variant,eta,n_damped,base_damping_trace,slow_mode_index,slow_mode_frequency,first_order_decay_coefficient,first_order_predicted_decay_rate,exact_decay_rate,relative_prediction_error,exact_free_residual
paper,17,3,single_terminal,0.0001,1,0.7,2,1.8455485249169508,0.060654589239308984,6.0654589239308985e-06,6.065458912567307e-06,1.873492463143216e-09,1.8200548080610225e-16
paper,17,3,single_terminal,0.0003,1,0.7,2,1.8455485249169508,0.060654589239308984,1.8196376771792693e-05,1.8196376462848132e-05,1.697835590508691e-08,1.8200548080610225e-16
paper,17,3,single_terminal,0.001,1,0.7,2,1.8455485249169508,0.060654589239308984,6.065458923930898e-05,6.065457779483709e-05,1.886827038080485e-07,1.8200548080610225e-16
paper,17,3,single_terminal,0.003,1,0.7,2,1.8455485249169508,0.060654589239308984,0.00018196376771792696,0.00018196345871613435,1.698150112410833e-06,1.8200548080610225e-16
paper,17,3,single_terminal,0.01,1,0.7,2,1.8455485249169508,0.060654589239308984,0.0006065458923930899,0.0006065344479618843,1.8868203295218228e-05,1.8200548080610225e-16
paper,17,3,single_terminal,0.03,1,0.7,2,1.8455485249169508,0.060654589239308984,0.0018196376771792695,0.0018193286969552594,0.00016980315800510455,1.8200548080610225e-16
paper,17,3,paper_boundary,0.0001,1,0.7,2,1.8455485249169508,0.060654589239308984,6.0654589239308985e-06,6.065458912567307e-06,1.873492463143216e-09,1.8200548080610225e-16
paper,17,3,paper_boundary,0.0003,1,0.7,2,1.8455485249169508,0.060654589239308984,1.8196376771792693e-05,1.8196376462848132e-05,1.697835590508691e-08,1.8200548080610225e-16
paper,17,3,paper_boundary,0.001,1,0.7,2,1.8455485249169508,0.060654589239308984,6.065458923930898e-05,6.065457779483709e-05,1.886827038080485e-07,1.8200548080610225e-16
paper,17,3,paper_boundary,0.003,1,0.7,2,1.8455485249169508,0.060654589239308984,0.00018196376771792696,0.00018196345871613435,1.698150112410833e-06,1.8200548080610225e-16
paper,17,3,paper_boundary,0.01,1,0.7,2,1.8455485249169508,0.060654589239308984,0.0006065458923930899,0.0006065344479618843,1.8868203295218228e-05,1.8200548080610225e-16
paper,17,3,paper_boundary,0.03,1,0.7,2,1.8455485249169508,0.060654589239308984,0.0018196376771792695,0.0018193286969552594,0.00016980315800510455,1.8200548080610225e-16
paper,17,3,uniform_trace,0.0001,3,0.7,1,1.161567481168313,0.11666666666666664,1.1666666666666665e-05,1.1666666666695125e-05,2.4394548880923854e-12,1.8200548080610225e-16
paper,17,3,uniform_trace,0.0003,3,0.7,1,1.161567481168313,0.11666666666666664,3.499999999999999e-05,3.500000000000724e-05,2.0716005795705179e-13,1.8200548080610225e-16
paper,17,3,uniform_trace,0.001,3,0.7,1,1.161567481168313,0.11666666666666664,0.00011666666666666664,0.00011666666666656491,8.71930875715307e-13,1.8200548080610225e-16
paper,17,3,uniform_trace,0.003,3,0.7,1,1.161567481168313,0.11666666666666664,0.00034999999999999994,0.0003499999999997494,7.158832058897146e-13,1.8200548080610225e-16
paper,17,3,uniform_trace,0.01,3,0.7,1,1.161567481168313,0.11666666666666664,0.0011666666666666663,0.0011666666666666145,4.442131186697754e-14,1.8200548080610225e-16
paper,17,3,uniform_trace,0.03,3,0.7,1,1.161567481168313,0.11666666666666664,0.003499999999999999,0.003499999999999963,1.0284432036148216e-14,1.8200548080610225e-16
paper,17,5,single_terminal,0.0001,1,0.7,4,1.9592678275443796,0.016049949668825326,1.6049949668825326e-06,1.60499496125063e-06,3.5089845767399515e-09,1.2418805885383885e-16
paper,17,5,single_terminal,0.0003,1,0.7,4,1.9592678275443796,0.016049949668825326,4.814984900647598e-06,4.814984749025635e-06,3.1489602999661175e-08,1.2418805885383885e-16
paper,17,5,single_terminal,0.001,1,0.7,4,1.9592678275443796,0.016049949668825326,1.6049949668825327e-05,1.6049944053981603e-05,3.498355969765598e-07,1.2418805885383885e-16
paper,17,5,single_terminal,0.003,1,0.7,4,1.9592678275443796,0.016049949668825326,4.814984900647598e-05,4.8149697406472784e-05,3.1485042284135775e-06,1.2418805885383885e-16
paper,17,5,single_terminal,0.01,1,0.7,4,1.9592678275443796,0.016049949668825326,0.00016049949668825325,0.00016049388201629577,3.498248949893871e-05,1.2418805885383885e-16
paper,17,5,single_terminal,0.03,1,0.7,4,1.9592678275443796,0.016049949668825326,0.00048149849006475973,0.0004813469277854948,0.00031477207590937904,1.2418805885383885e-16
paper,17,5,paper_boundary,0.0001,2,0.7,2,1.2814690610286117,0.0505829379227163,5.058293792271631e-06,5.058293789828028e-06,4.830883512872611e-10,1.2418805885383885e-16
paper,17,5,paper_boundary,0.0003,2,0.7,2,1.2814690610286117,0.0505829379227163,1.517488137681489e-05,1.5174881308869376e-05,4.477498828135772e-09,1.2418805885383885e-16
paper,17,5,paper_boundary,0.001,2,0.7,2,1.2814690610286117,0.0505829379227163,5.0582937922716304e-05,5.058293540549652e-05,4.9764206804814517e-08,1.2418805885383885e-16
paper,17,5,paper_boundary,0.003,2,0.7,2,1.2814690610286117,0.0505829379227163,0.0001517488137681489,0.0001517487457976946,4.4791423807347017e-07,1.2418805885383885e-16
paper,17,5,paper_boundary,0.01,2,0.7,2,1.2814690610286117,0.0505829379227163,0.000505829379227163,0.0005058268618146622,4.97680167299617e-06,1.2418805885383885e-16
