seed,chain_size,variant,exact_decay_vs_eta_slope,exact_decay_vs_eta_r_squared,smallest_eta,smallest_eta_relative_prediction_error,first_order_decay_coefficient
17,3,paper_boundary,0.9999774882055198,0.9999999995013396,0.0001,1.873492463143216e-09,0.060654589239308984
17,3,single_terminal,0.9999774882055198,0.9999999995013396,0.0001,1.873492463143216e-09,0.060654589239308984
17,3,uniform_trace,0.9999999999996817,1.0,0.0001,2.4394548880923854e-12,0.11666666666666664
17,5,paper_boundary,0.9999940622662897,0.9999999999653096,0.0001,4.830883512872611e-10,0.0505829379227163
17,5,single_terminal,0.9999582655476975,0.9999999982861305,0.0001,3.5089845767399515e-09,0.016049949668825326
17,5,uniform_trace,1.000000000001968,1.0,0.0001,1.3135907950726443e-11,0.06999999999999998
17,9,paper_boundary,0.9999760014310876,0.9999999994332487,0.0001,2.011982021326431e-09,0.03009979944930576
17,9,single_terminal,0.9999527975532946,0.9999999978076277,0.0001,4.016784385642616e-09,0.003123700896072716
17,9,uniform_trace,1.0000000000031053,1.0,0.0001,1.8868312325506e-11,0.03888888888888887
17,17,paper_boundary,0.9994569283647684,0.9999997092741754,0.0001,4.538785854284633e-08,0.010078599841698968
17,17,single_terminal,0.9999230350658049,0.9999999941711752,0.0001,5.589064645916484e-09,0.00045777211466745284
17,17,uniform_trace,1.0000000000058251,1.0,0.0001,4.1029283726402975e-11,0.020588235294117636
17,33,paper_boundary,0.9999828173174312,0.9999999997094952,0.0001,1.3468009954086751e-09,0.004357411096151879
17,33,single_terminal,0.9999281453849312,0.9999999949200787,0.0001,1.1627618703978389e-08,2.9377879799722814e-05
17,33,uniform_trace,1.0000000000115326,1.0,0.0001,7.776809751531415e-11,0.010606060606060591
29,3,paper_boundary,0.9999759712306618,0.9999999994318717,0.0001,1.986622237292884e-09,0.049528138796398107
29,3,single_terminal,0.9999759712306618,0.9999999994318717,0.0001,1.986622237292884e-09,0.049528138796398107
29,3,uniform_trace,1.0000000000005251,1.0,0.0001,4.847254944898809e-12,0.11666666666666667
29,5,paper_boundary,0.9999837303764567,0.999999999739539,0.0001,1.4128315182890657e-09,0.03714698887885822
29,5,single_terminal,0.9999637696783683,0.9999999987084046,0.0001,3.27859985186015e-09,0.007184948063643519
29,5,uniform_trace,1.0000000000012188,1.0,0.0001,6.62573372283664e-12,0.06999999999999998
29,9,paper_boundary,0.9999481523842265,0.9999999973544265,0.0001,4.32949638631007e-09,0.02541869837261721
29,9,single_terminal,0.9999410237725883,0.9999999965774828,0.0001,4.875816593967014e-09,0.0035508904450505187
29,9,uniform_trace,1.000000000002417,1.0,0.0001,1.4942314614982326e-11,0.038888888888888855
29,17,paper_boundary,0.9997691887608813,0.9999999475662363,0.0001,1.9480991657581596e-08,0.003165420514255878
29,17,single_terminal,0.999931771056939,0.9999999954192464,0.0001,8.771921340322944e-09,9.476649490768082e-05
29,17,uniform_trace,1.0000000000053753,1.0,0.0001,2.949379612763086e-11,0.020588235294117616
29,33,paper_boundary,0.9998791520164675,0.9999999856206472,0.0001,9.93177024085534e-09,0.007590933594446896
29,33,single_terminal,0.9999446605069726,0.9999999969867105,0.0001,2.29715322842154e-11,6.035026944977581e-05
29,33,uniform_trace,1.0000000000144231,1.0,0.0001,9.696259617857244e-11,0.010606060606060593
